saya|aku
Keindahan|Estetika 
Perkiraan|Estimasi 
Pandangan hidup|Etos 
Pengungsian|Evakuasi 
Penilaian|Evaluasi 
Penggugah rasa|Evokasi 
Hewan|Fauna 
Kenyataan|Fenomena 
Subur|Fertile 
Arsip|File 
Rekaan|Fitnah 
Bertemperamen lamban|Flegmatis 
Tanaman|Flora 
Lembaga|Forum 
Sinyal|Frekuwensi 
Bentrokan|Friksi 
Putus Harapan|Frustasi 
Mendasar|Fundamental 
Jamur|Fungi 
Gabugan|Fusi 
Menuju masa depan|Futuristis 
Keliru|Galat 
Getol|Gemar 
Umum|Generik 
Cepat berbuah|Genjah 
Aliran|Genre 
Panas bumi|Geothermal 
Pahit|Getir 
Dunia|Global 
Kamus ringkas|Glosarium 
Sangrai|Gongseng 
Pengampunan hukuman dari presiden|Grasi 
Jalur hijau|Green belt 
Serasi|Harmonis 
Mal|Harta benda 
Hidup|Hayati 
Hura-hura|Hedonisme 
Intervensi|Hegemoni 
Sisi miring|Hepotenusa 
Berhubungan dengan tumbuh-tumbuhan|Herbi 
Jiwa kepahlawanan|Heroisme 
Tidak sejenis|Heterogen 
Bersih|Higienis 
Berlebihan|Hiperbola 
Keseluruhan|Holistik 
Sejenis|Homogen 
Lahan|Huma 
Kemanusiaan|Humanisme 
Bukti diri|Identitas 
Efek|Imbas 
Isapan|Imbasan 
Akibat|Implikasi 
Tersirat|Implisit 
Spontan|Impulsif 
Lesu|Indolen 
Penyusupan|Infiltrasi 
Melekat|Inheren 
Suntik|Injeksi 
Penemuan|Inovasi 
Bonus|Insentif 
Sindiran|Insinuasi 
Tidak bisa tidur|Insomnia 
Pemeriksaan|Inspeksi 
Naluri|Insting 
Pelatih|Instruktur 
Fragmental|Instrumental 
Hubungan|Interaksi 
Hak bertanya|Interpelasi 
Bisikan Hati|Intuisi 
Pencaplokan|Invasi 
Pemeriksaan|Investigasi 
Bertentangan dengan harapan|Ironi 
Perulangan|Iterasi 
Telaah|Jajak 
Slogan|Jargon 
Jarak|Jeda 
Angkuh|Jemawa 
Awang-awang|Jumantara 
Kawah|Kaldera 
Juara|Kampiun 
Modal|Kapital 
Tanah yang sudah dipetak-petak|Kapling 
Ciri|Karakteristik 
Zat oksidasi|Karat 
Hewan pemakan daging|Karnivora 
Dawai|Kawat 
Kesamaan|Kecenderungan 
Rapat|Kedap 
Gelak tawa|Kekeh 
Pingsan|Kelenger 
Genit|Keletah 
Hambatan|Kendala 
Imajinasi|Khayalan 
Terali|Kisi-kisi 
Penjelasan|Klarifikasi 
Titik puncak|Klimaks 
Kerja sama|Kolaborasi 
Rongga di bawah rumah|Kolong 
Lawak|Komedi 
Rekan senegara|Kompatriot 
Ringkasan|Kompendium 
Persekutuan|Komplotan 
Perilaku|Konduite 
Aman|Kondusif 
Yakin|Konfiden 
Pertikaian|Konfrontasi 
Cekung|Konkaf 
Kesimpulan|Konklusi 
Nyata|Konkret 
Sengketa|Konkurensi 
Mufakat|Konsensus 
Perlindungan|Konservasi 
Persekongkolan|Konspirasi 
Kontinu|Konstan 
Pada masa ini|Kontemporer 
Bersambung|Kontiniu 
Pertentangan|Kontradiksi 
Cembung|Konveks 
Pergerakan|Konvoi 
Hubungan|Korelasi 
Ilmu tari|Koreografi 
Ciptaan|Kreasi 
Andal|Kredibel 
Dapat dipercaya|Kredibilitas 
Penting|Krusial 
Perebutan kekuasaan|Kudeta 
Suci|Kudus 
Masakan|Kuliner 
Klimaks|Kulminasi 
Antik|Kuno 
Keuntungan|Laba 
Pertamanan|Landskap 
Indah|Latif 
Sah|Legal 
Perserikatan|Liga 
Tempat|Loka 
Beragam|Majemuk 
Muslihat|Makar 
Pialang|Makelar 
arta benda|Mal 
Bencana|Mala 
Bersatu|Manunggal 
Dunia|Mayapada 
Perantara|Mediator 
Mengembang|Mekar 
Mengakali|Mengecoh 
Agresif|Militan 
Rahasia|Misteri 
Sakralisasi|Mistifikasi 
Gaib|Mistik 
Kawan|Mitra 
Aduk-aduk|Mixer 
Gerak|Mobilitas 
Contoh|Model 
Terus-menerus|Monoton 
Gerak|Motilitas 
Beradab|Mudun 
Terkini|Mutakhir 
Terkini|Mutakhir 
Pemotongan|Mutilasi 
Botani|Nabati 
Terinci|Naratif 
Tidak|Nir 
Relatif|Nisbi 
Pasti|Niscaya 
kebiasaan|Norma 
Perbedaan makna|Nuansa 
Hewan pemakan daging dan tumbuh-tumbuhan|Omnivora 
Pesuruh|Opas 
Berkaitan dengan mulut|Oral 
Asli|Orisinil 
Konservatif|Ortodok 
Belajar sendiri|Otodidak 
Bulat telur|Oval 
Potong|Pangkas 
Gambaran|Paparan 
Kerangka berpikir|Paradigma 
Lawan asas|Paradoks 
Kontras|Paradoksal 
Wajah|Paras 
Sempurna|Paripurna 
Swasta|Partikelir 
Penghadapan|Paseban 
Pengajaran|Pedagogi 
Panduan|Pedoman 
Restriksi|Pembatasan 
Perbaikan|Pemugaran 
Kesadaran|Pencerahan 
Gratis|Perdeo 
Perlubangan|Perforasi 
Cuti|Perlop 
Kelenger|Pingsan 
Perintis|Pioner 
Penjiplak|Plagiator 
Rencana|Planning 
Banyak|Poly 
Partikelir|Preman 
Iuran pertanggungan asuransi|Premi 
Kata depan|Preposisi 
Martabat|Prestise 
Pura-pura|Pretensi 
Utama|Primer 
Kondang|Prominen 
Penganjur|Promotor 
Mekanisme|Prosedur 
Perlindungan|Proteksi 
Buatan|Protesis 
Potongan harga|Rabat 
Pendeta|Rahib 
Pembetulan|Ralat 
Acak|Rambang 
Kacau|Rancu 
Secara acak|Random 
Pembayaran sekaligus|Rapel 
Ringkih|Rapuh 
Pengesahan|Ratifikasi 
Surat keterangan|Referensi 
Rekanan|Relasi 
Pertemuan|Rendezvous 
Sisa|Residu 
Pembatasan|Restriksi 
Rapuh|Ringkih 
Khawatir|Risi 
Kisah cinta|Romansa 
Warna|Rona 
Benar|Sahih 
Pakaian|Sandang 
Hukuman|Sanksi 
Bilangan|Sapta 
Gelanggang|Sasana 
Risalah|Selebaran 
Slogan|Semboyan 
Otak besar|Serebrum 
Perayaan|Seremoni 
Perkumpulan|Serikat 
Harus ada|Sine qua non 
Sesuai|Sinkron 
Buatan|Sintesis 
Gugatan|Somasi 
Pengenalan|Sosialisasi 
Khusus|Spesifik 
Jarang|Sporadis 
Kemacetan|Stagnasi 
Baku|Standar 
Tidak aktif|Statis 
Cacat|Stigma 
Tingkatan|Strata 
Taktik|Strategi 
Tidak sinkron|Sumbang 
Pengawasan|Supervisi 
Pengarah adegan|Sutradara 
Otonomi|Swatantra 
Konon|Syahdan 
Perkenalan|Ta’aruf 
Watak|Tabiat 
Bakat|Talenta 
Lawatan|Tandang 
Lepas|Tanggal 
Cegah|Tangkal 
Perapian|Tanur 
Tingkat|Taraf 
Sasaran|Target 
Gerak-gerik|Telatah 
Kecenderungan|Tendensi 
Belum pasti|Tentatif 
Tahap|Termin 
Tak seimbang|Timpang 
Diktator|Tiran 
Kisi-kisi|Trail 
Kesinambungan|Transedental 
Penyanyi lagu cinta|Trobadur 
Destruksi|Vandalisme 
Jendela|Ventilasi 
Pembuktian|Verifikasi 
Lawan|Versus 
Sarana|Wahana 
Berita|Warta 
